"artist_id","name","location","latitude","longitude"
"AR7G5I41187FB4CE6C","Adam Ant","London, England",nan,nan
"AR8ZCNI1187B9A069B","Planet P Project","",nan,nan
"ARXR32B1187FB57099","Gob","",nan,nan
"AR10USD1187B99F3F1","Tweeterfriendly Music","Burlington, Ontario, Canada",nan,nan
"ARMJAGH1187FB546F3","The Box Tops","Memphis, TN",35.14968,-90.04892
"ARKRRTF1187B9984DA","Sonora Santanera","",nan,nan
"ARKFYS91187B98E58F","Jeff And Sheri Easter","",nan,nan
"ARD0S291187B9B7BF5","Rated R","Ohio",nan,nan
"ARH4Z031187B9A71F2","Faye Adams","Newark, NJ",40.73197,-74.17418
"ARB29H41187B98F0EF","Terry Callier","Chicago",41.88415,-87.63241
"AR47JEX1187B995D81","SUE THOMPSON","Nevada, MO",37.83721,-94.35868
"ARNTLGG11E2835DDB9","Clp","",nan,nan
"ARMAC4T1187FB3FA4C","The Dillinger Escape Plan","Morris Plains, NJ",40.82624,-74.47995
"ARGIWFO1187B9B55B7","Five Bolt Main","",nan,nan
"ARDNS031187B9924F0","Tim Wilson","Georgia",32.67828,-83.22295
"AR5KOSW1187FB35FF4","Elena","Dubai UAE",49.80388,15.47491
"AR1Y2PT1187FB5B9CE","John Wesley","Brandon",27.94017,-82.32547
"AROUOZZ1187B9ABE51","Willie Bobo","New York, NY [Spanish Harlem]",40.79195,-73.94512
"ARL7K851187B99ACD2","Andy Andy","",nan,nan
"ARNPAGP1241B9C7FD4","lextrical","",nan,nan
"ARQGYP71187FB44566","Jimmy Wakely","Mineola, AR",34.31109,-94.02978
"ARIG6O41187B988BDD","Richard Souther","United States",37.16793,-95.84502
"ARHHO3O1187B989413","Bob Azzam","",nan,nan
"ARC43071187B990240","Wayne Watson","Wisner, LA",nan,nan
"ARIK43K1187B9AE54C","Lionel Richie","Beverly Hills, CA",nan,nan
"ARD842G1187B997376","Blue Rodeo","Toronto, Ontario, Canada",43.64856,-79.38533
"AR1ZHYZ1187FB3C717","Faiz Ali Faiz","",nan,nan
"ARYKCQI1187FB3B18F","Tesla","",nan,nan
"ARMBR4Y1187B9990EB","David Martin","California - SF",37.77916,-122.42005
"AR9AWNF1187B9AB0B4","Kenny G featuring Daryl Hall","Seattle, Washington USA",nan,nan
"ARQ9BO41187FB5CF1F","John Davis","Pennsylvania",40.99471,-77.60454
"AR3JMC51187B9AE49D","Backstreet Boys","Orlando, FL",28.53823,-81.37739
"AREDBBQ1187B98AFF5","Eddie Calvert","",nan,nan
"ARPBNLO1187FB3D52F","Tiny Tim","New York, NY",40.71455,-74.00712
"ARKULSX1187FB45F84","Trafik","Utah",39.49974,-111.54732
"AROGWRA122988FEE45","Christos Dantis","",nan,nan
"ARI2JSK1187FB496EF","Nick Ingman;Gavyn Wright","London, England",51.50632,-0.12714
"ARD7TVE1187B99BFB1","Casual","California - LA",nan,nan
"ARLTWXK1187FB5A3F8","King Curtis","Fort Worth, TX",32.74863,-97.32925
"ARULZCI1241B9C8611","Luna Orbit Project","",nan,nan
"ARPFHN61187FB575F6","Lupe Fiasco","Chicago, IL",41.88415,-87.63241
"ARJIE2Y1187B994AB7","Line Renaud","",nan,nan
"AR0IAWL1187B9A96D0","Danilo Perez","Panama",8.4177,-80.11278
"ARVBRGZ1187FB4675A","Gwen Stefani","",nan,nan
"AR8IEZO1187B99055E","Marc Shaiman","",nan,nan
"AR051KA1187B98B2FF","Wilks","",nan,nan
"ARNF6401187FB57032","Sophie B. Hawkins","New York, NY [Manhattan]",40.79086,-73.96644
"AR558FS1187FB45658","40 Grit","",nan,nan
"AR36F9J1187FB406F1","Bombay Rockers","Denmark",56.27609,9.51695
"AR7SMBG1187B9B9066","Los Manolos","",nan,nan
"ARDR4AC1187FB371A1","Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti","",nan,nan
"ARBGXIG122988F409D","Steel Rain","California - SF",37.77916,-122.42005
"AREDL271187FB40F44","Soul Mekanik","",nan,nan
"ARAGB2O1187FB3A161","Pucho & His Latin Soul Brothers","",nan,nan
"AR62SOJ1187FB47BB5","Chase & Status","",nan,nan
"ARBEBBY1187B9B43DB","Tom Petty","Gainesville, FL",nan,nan
"ARNNKDK1187B98BBD5","Jinx","Zagreb Croatia",45.80726,15.967600000000001
"ARGCY1Y1187B9A4FA5","Gloriana","Nashville, TN.",36.16778,-86.77836
