"time_id","start_time","hour","day","week","month","year","weekday"
1,"2018-11-11 02:33:56.796",2,11,45,11,2018,6
2,"2018-11-11 02:36:10.796",2,11,45,11,2018,6
3,"2018-11-11 02:40:34.796",2,11,45,11,2018,6
4,"2018-11-11 04:36:13.796",4,11,45,11,2018,6
5,"2018-11-11 04:36:46.796",4,11,45,11,2018,6
6,"2018-11-11 09:56:28.796",9,11,45,11,2018,6
7,"2018-11-11 10:00:47.796",10,11,45,11,2018,6
8,"2018-11-11 10:04:07.796",10,11,45,11,2018,6
9,"2018-11-11 10:08:28.796",10,11,45,11,2018,6
10,"2018-11-11 10:12:00.796",10,11,45,11,2018,6
11,"2018-11-11 10:27:43.796",10,11,45,11,2018,6
12,"2018-11-11 10:33:44.796",10,11,45,11,2018,6
13,"2018-11-11 10:36:22.796",10,11,45,11,2018,6
14,"2018-11-11 10:40:14.796",10,11,45,11,2018,6
15,"2018-11-11 10:43:23.796",10,11,45,11,2018,6
16,"2018-11-11 10:46:18.796",10,11,45,11,2018,6
17,"2018-11-11 11:14:51.796",11,11,45,11,2018,6
18,"2018-11-11 13:41:22.796",13,11,45,11,2018,6
19,"2018-11-11 13:52:23.796",13,11,45,11,2018,6
20,"2018-11-11 13:58:22.796",13,11,45,11,2018,6
21,"2018-11-11 14:05:43.796",14,11,45,11,2018,6
22,"2018-11-11 14:07:54.796",14,11,45,11,2018,6
23,"2018-11-11 14:09:36.796",14,11,45,11,2018,6
24,"2018-11-11 14:14:29.796",14,11,45,11,2018,6
25,"2018-11-11 14:15:06.796",14,11,45,11,2018,6
26,"2018-11-11 14:17:52.796",14,11,45,11,2018,6
27,"2018-11-11 14:19:37.796",14,11,45,11,2018,6
28,"2018-11-11 14:24:58.796",14,11,45,11,2018,6
29,"2018-11-11 14:30:05.796",14,11,45,11,2018,6
30,"2018-11-11 14:33:53.796",14,11,45,11,2018,6
31,"2018-11-11 14:37:16.796",14,11,45,11,2018,6
32,"2018-11-11 14:40:58.796",14,11,45,11,2018,6
33,"2018-11-11 14:44:29.796",14,11,45,11,2018,6
34,"2018-11-11 14:47:24.796",14,11,45,11,2018,6
35,"2018-11-11 14:47:42.796",14,11,45,11,2018,6
36,"2018-11-11 14:51:55.796",14,11,45,11,2018,6
37,"2018-11-11 14:54:07.796",14,11,45,11,2018,6
38,"2018-11-11 14:56:21.796",14,11,45,11,2018,6
39,"2018-11-11 14:57:24.796",14,11,45,11,2018,6
40,"2018-11-11 15:00:12.796",15,11,45,11,2018,6
41,"2018-11-11 15:00:37.796",15,11,45,11,2018,6
42,"2018-11-11 15:04:26.796",15,11,45,11,2018,6
43,"2018-11-11 15:07:26.796",15,11,45,11,2018,6
44,"2018-11-11 15:10:12.796",15,11,45,11,2018,6
45,"2018-11-11 15:14:56.796",15,11,45,11,2018,6
46,"2018-11-11 16:01:19.796",16,11,45,11,2018,6
47,"2018-11-11 16:05:35.796",16,11,45,11,2018,6
48,"2018-11-11 16:09:12.796",16,11,45,11,2018,6
49,"2018-11-11 16:13:43.796",16,11,45,11,2018,6
50,"2018-11-11 18:08:33.796",18,11,45,11,2018,6
51,"2018-11-11 18:48:12.796",18,11,45,11,2018,6
52,"2018-11-11 18:49:01.796",18,11,45,11,2018,6
53,"2018-11-11 18:51:56.796",18,11,45,11,2018,6
54,"2018-11-11 18:53:36.796",18,11,45,11,2018,6
55,"2018-11-11 18:54:46.796",18,11,45,11,2018,6
56,"2018-11-11 19:41:45.796",19,11,45,11,2018,6
57,"2018-11-11 19:45:25.796",19,11,45,11,2018,6
58,"2018-11-11 19:48:53.796",19,11,45,11,2018,6
59,"2018-11-11 19:56:23.796",19,11,45,11,2018,6
60,"2018-11-11 19:59:18.796",19,11,45,11,2018,6
61,"2018-11-11 20:03:09.796",20,11,45,11,2018,6
62,"2018-11-11 20:06:02.796",20,11,45,11,2018,6
63,"2018-11-11 20:08:52.796",20,11,45,11,2018,6
64,"2018-11-11 20:13:22.796",20,11,45,11,2018,6
65,"2018-11-11 20:15:55.796",20,11,45,11,2018,6
66,"2018-11-11 20:19:18.796",20,11,45,11,2018,6
67,"2018-11-11 20:22:03.796",20,11,45,11,2018,6
68,"2018-11-11 20:25:40.796",20,11,45,11,2018,6
69,"2018-11-11 21:09:28.796",21,11,45,11,2018,6
70,"2018-11-11 21:13:48.796",21,11,45,11,2018,6
71,"2018-11-11 21:17:29.796",21,11,45,11,2018,6
72,"2018-11-11 23:39:00.796",23,11,45,11,2018,6
73,"2018-11-11 23:42:28.796",23,11,45,11,2018,6
74,"2018-11-23 00:07:25.796",0,23,47,11,2018,4
75,"2018-11-23 00:11:00.796",0,23,47,11,2018,4
76,"2018-11-23 00:14:24.796",0,23,47,11,2018,4
77,"2018-11-23 00:17:16.796",0,23,47,11,2018,4
78,"2018-11-23 00:20:45.796",0,23,47,11,2018,4
79,"2018-11-23 00:25:11.796",0,23,47,11,2018,4
80,"2018-11-23 00:29:30.796",0,23,47,11,2018,4
81,"2018-11-23 00:33:55.796",0,23,47,11,2018,4
82,"2018-11-23 00:38:05.796",0,23,47,11,2018,4
83,"2018-11-23 00:42:32.796",0,23,47,11,2018,4
84,"2018-11-23 00:45:07.796",0,23,47,11,2018,4
85,"2018-11-23 00:49:02.796",0,23,47,11,2018,4
86,"2018-11-23 01:34:56.796",1,23,47,11,2018,4
87,"2018-11-23 01:39:24.796",1,23,47,11,2018,4
88,"2018-11-23 02:35:36.796",2,23,47,11,2018,4
89,"2018-11-23 02:39:36.796",2,23,47,11,2018,4
90,"2018-11-23 03:48:24.796",3,23,47,11,2018,4
91,"2018-11-23 03:52:36.796",3,23,47,11,2018,4
92,"2018-11-23 03:57:58.796",3,23,47,11,2018,4
93,"2018-11-23 04:01:13.796",4,23,47,11,2018,4
94,"2018-11-23 04:04:51.796",4,23,47,11,2018,4
95,"2018-11-23 04:06:21.796",4,23,47,11,2018,4
96,"2018-11-23 04:09:56.796",4,23,47,11,2018,4
97,"2018-11-23 05:56:58.796",5,23,47,11,2018,4
98,"2018-11-23 06:03:11.796",6,23,47,11,2018,4
99,"2018-11-23 06:07:58.796",6,23,47,11,2018,4
100,"2018-11-23 06:09:06.796",6,23,47,11,2018,4
101,"2018-11-23 06:11:42.796",6,23,47,11,2018,4
102,"2018-11-23 06:15:22.796",6,23,47,11,2018,4
103,"2018-11-23 06:28:16.796",6,23,47,11,2018,4
104,"2018-11-23 07:05:36.796",7,23,47,11,2018,4
105,"2018-11-23 07:34:02.796",7,23,47,11,2018,4
106,"2018-11-23 07:50:40.796",7,23,47,11,2018,4
107,"2018-11-23 07:51:37.796",7,23,47,11,2018,4
108,"2018-11-23 07:53:57.796",7,23,47,11,2018,4
109,"2018-11-23 07:55:00.796",7,23,47,11,2018,4
110,"2018-11-23 10:39:09.796",10,23,47,11,2018,4
111,"2018-11-23 10:43:47.796",10,23,47,11,2018,4
112,"2018-11-23 10:57:19.796",10,23,47,11,2018,4
113,"2018-11-23 11:02:35.796",11,23,47,11,2018,4
114,"2018-11-23 11:04:05.796",11,23,47,11,2018,4
115,"2018-11-23 11:13:30.796",11,23,47,11,2018,4
116,"2018-11-23 11:14:28.796",11,23,47,11,2018,4
117,"2018-11-23 11:17:50.796",11,23,47,11,2018,4
118,"2018-11-23 11:22:40.796",11,23,47,11,2018,4
119,"2018-11-23 11:26:29.796",11,23,47,11,2018,4
120,"2018-11-23 11:32:17.796",11,23,47,11,2018,4
121,"2018-11-23 11:35:48.796",11,23,47,11,2018,4
122,"2018-11-23 11:37:44.796",11,23,47,11,2018,4
123,"2018-11-23 11:39:45.796",11,23,47,11,2018,4
124,"2018-11-23 11:42:52.796",11,23,47,11,2018,4
125,"2018-11-23 11:43:31.796",11,23,47,11,2018,4
126,"2018-11-23 11:47:14.796",11,23,47,11,2018,4
127,"2018-11-23 11:50:36.796",11,23,47,11,2018,4
128,"2018-11-23 11:52:40.796",11,23,47,11,2018,4
129,"2018-11-23 11:54:21.796",11,23,47,11,2018,4
130,"2018-11-23 11:59:10.796",11,23,47,11,2018,4
131,"2018-11-23 12:01:25.796",12,23,47,11,2018,4
132,"2018-11-23 12:02:53.796",12,23,47,11,2018,4
133,"2018-11-23 12:05:04.796",12,23,47,11,2018,4
134,"2018-11-23 12:07:58.796",12,23,47,11,2018,4
135,"2018-11-23 12:08:33.796",12,23,47,11,2018,4
136,"2018-11-23 12:11:58.796",12,23,47,11,2018,4
137,"2018-11-23 12:12:48.796",12,23,47,11,2018,4
138,"2018-11-23 12:15:42.796",12,23,47,11,2018,4
139,"2018-11-23 12:17:20.796",12,23,47,11,2018,4
140,"2018-11-23 12:21:09.796",12,23,47,11,2018,4
141,"2018-11-23 12:23:40.796",12,23,47,11,2018,4
142,"2018-11-23 12:28:13.796",12,23,47,11,2018,4
143,"2018-11-23 12:30:30.796",12,23,47,11,2018,4
144,"2018-11-23 12:33:54.796",12,23,47,11,2018,4
145,"2018-11-23 12:34:55.796",12,23,47,11,2018,4
146,"2018-11-23 12:37:42.796",12,23,47,11,2018,4
147,"2018-11-23 12:38:30.796",12,23,47,11,2018,4
148,"2018-11-23 12:42:12.796",12,23,47,11,2018,4
149,"2018-11-23 12:42:26.796",12,23,47,11,2018,4
150,"2018-11-23 12:46:07.796",12,23,47,11,2018,4
151,"2018-11-23 12:46:24.796",12,23,47,11,2018,4
152,"2018-11-23 12:50:21.796",12,23,47,11,2018,4
153,"2018-11-23 12:50:45.796",12,23,47,11,2018,4
154,"2018-11-23 12:51:36.796",12,23,47,11,2018,4
155,"2018-11-23 12:52:33.796",12,23,47,11,2018,4
156,"2018-11-23 12:54:29.796",12,23,47,11,2018,4
157,"2018-11-23 12:54:50.796",12,23,47,11,2018,4
158,"2018-11-23 12:58:04.796",12,23,47,11,2018,4
159,"2018-11-23 13:04:00.796",13,23,47,11,2018,4
160,"2018-11-23 14:25:06.796",14,23,47,11,2018,4
161,"2018-11-23 14:27:50.796",14,23,47,11,2018,4
162,"2018-11-23 14:38:54.796",14,23,47,11,2018,4
163,"2018-11-23 14:41:51.796",14,23,47,11,2018,4
164,"2018-11-23 14:41:51.796",14,23,47,11,2018,4
165,"2018-11-23 14:45:52.796",14,23,47,11,2018,4
166,"2018-11-23 14:47:49.796",14,23,47,11,2018,4
