num_songs,artist_id,artist_latitude,artist_longitude,artist_location,artist_name,song_id,title,duration,year
1,AR9Q9YC1187FB5609B,,,New Jersey,Quest_ Pup_ Kevo,SOFRDWL12A58A7CEF7,Hit Da Scene,252.94322,
1,AR1C2IX1187B99BF74,,,,Broken Spindles,SODZYPO12A8C13A91E,Burn My Body (Album Version),177.99791,
1,ARSZ7L31187FB4E610,39.740009999999998,-104.99226,"Denver, CO",Devotchka,SORRNOC12AB017F52B,The Last Beat Of My Heart (b-side),337.81506,2004
1,ARZKCQM1257509D107,,,,Dataphiles,SOTAZDY12AB0187616,Drillbit,374.62159,
1,ARKYKXP11F50C47A6A,,,,The Supersuckers,SONQPZK12AB0182D84,Double Wide,160.20853,
1,ARY589G1187B9A9F4E,45.511789999999998,-122.67563,"Portland, OR",Talkdemonic,SOIGHOD12A8C13B5A1,Indian Angel,171.57179,2004
1,ARN4G4X1187FB485B4,54.313920000000003,-2.2321800000000001,Great Britain / UK,The Donkeys,SOSLGRK12A58A76E90,Excelsior Lady,214.96118,
1,ARE6D0Y119B8667D9F,,,,Alejandro Santiago,SOSFHAT12A58A79EB6,Siempre Ana,234.63138,2002
1,ARZD4UW1187B9AB3D2,40.714550000000003,-74.00712,"NEW YORK, New York",Latin Lover,SOIAQCE12AAF3B562B,Laser Light,401.10975,2000
1,ARQTC851187B9B03AF,39.081659999999999,-77.151240000000001,"Rockville, MD",O.A.R.,SOAADAD12A8C13D5B0,One Shot (Album Version),263.99302,2005
1,ARPTKAK1187FB5308A,,,,Plus One,SONAAEB12AB018A443,What Child Is This? (Album Version),308.87138,2002
1,ARYKCQI1187FB3B18F,,,,Tesla,SOXLBJT12A8C140925,Caught In A Dream,290.29832,2004
1,ARJP2NO1187FB3AFB9,,,NY - New York City,IZZ,SOEAXKZ12A81C208DA,Just A Girl,256.39138,1999
1,AROJWW21187FB574E6,,,,Sanne Salomonsen,SOCKYOP12A58A7C4EC,Drama,195.02975,2003
1,ARNCNV91187FB4D552,31.389299999999999,35.361240000000002,Israel,Astral Projection,SOIGIVK12AB018E9AA,Ionized,444.83873,1996
1,ARDTIOA1187B99E779,44.979030000000002,-93.264930000000007,"Minneapolis, MN",Cloud Cult,SOEBWSU12AB018377B,Sane As Can Be,105.87383,2000
1,ARAJPHH1187FB5566A,40.703800000000001,-73.831680000000006,"Queens, NY",The Shangri-Las,SOYTPEP12AB0180E7B,Twist and Shout,164.80608,1964
1,ARKULHT11C8A415E71,,,,Jam Hsiao,SOYOWPX12AB018B46C,Green Door,198.19057,2009
1,ARO7RSN1187FB5932A,,,,Crown City Rockers,SONLHOM12AB01835F8,Kiss feat. Silya,180.89751,2009
1,AR5DQN21187FB3FD84,,,,Jolin Tsai,SOCRIXP12AB01823C8,Le Yuan (OT:They),199.96689,
1,ARJHWXB1187FB42C78,,,,Jeff Foxworthy,SOVLOKH12A58A7A623,Seek And Destroy   (Album Version),240.77016,1995
1,AR7TTS41187B9B42D3,34.36401,-89.518770000000004,"Oxford, MS",R.L. Burnside,SOTWVQT12A58A79650,Glory Be,277.78567,2004
1,AR3UF0G119B340300E,,,,Xymox,SOKEHXN12A8C13DD34,Prophecy,230.5824,1993
1,ARC1IHZ1187FB4E920,,,,Jamie Cullum,SOUOYBD12A67AE0EC5,Oh God,218.30485,
1,ARGMXQW1187FB54C34,-23.56287,-46.65466,"Sao Paulo, Brazil",Eliane Elias,SOPHYIS12AAF3B35A3,The More I See You,251.42812,2009
1,ARQY5EG1187FB57063,,,,Chuck Loeb,SOKKLAD12A6D4FD1C0,The Music Inside,321.2273,1998
1,ARJ7DT61187B9A2B87,,,,The Monochrome Set,SOKQWRX12A58A7DD14,The Jet Set Junta,123.58485,1982
1,ARA03PG1187B9B0681,,,,The Crash,SOMYSVN12A8AE46E1E,What If I Meet You,195.73506,
1,ARO4NIA1187B9B8289,38.437730000000002,-122.71241999999999,"Santa Rosa, CA",Julie London,SOXUDST12A6D4F6903,Black Coffee (Digitally Remastered 96),185.28608,
1,AR9MQ061187B9A3581,33.748309999999996,-84.391109999999998,"Atlanta, GEORGIA",Crime Mob,SOGZRUN12A6D4F6D0B,Wuz Up [featuring Bohagon] (Album Version),286.4322,2007
1,ARLRWBW1242077EB29,,,,Mikhail Pletnev,SOYVBGZ12A6D4F92A8,Piano Sonata No. 21 in C 'Waldstein' Op. 53: II.    Introduzione (Adagio molto),221.70077,
1,AR2WOOQ1187B98E303,55.954149999999998,-3.2027700000000001,Edinburgh,Idlewild,SOSZRTU12AF72A2916,There's Glory In Your Story,116.6624,2000
1,AR08LXJ1187B9995A4,,,,Tungtvann,SOESDHP12A8C1375AD,Bokstavelig Talt (Skit),56.63302,2002
1,AR06EB01187FB40150,,,"Berkeley, CA",NOFX,SOPIKEG12A58291636,Stickin In My Eye,144.50893,1992
1,AR9SWNW1187FB5934B,,,,Imperanon,SOMJOMF12A6701DDCA,Sold,221.98812,2004
1,ARKJBR01187FB429D7,,,,Jump_ Little Children,SOVDYXW12AB017CB97,Close Your Eyes,169.40363,
1,ARCCRTI11F4C845308,,,,White Heart,SOVJXVJ12A8C13517D,Where The Thunder Roars (Tales Of Wonder Album Version),298.84036,
1,AR6QV1M1187FB3AB2F,52.883560000000003,-1.9740599999999999,England,Gene,SONSIYV12A6701C9BB,Mayday,204.53832,1999
1,ARX3XRG1187FB5247E,40.143230000000003,-74.726709999999997,New Jersey USA,Osanna,SOPKYNK12A8AE45F1A,Oro Caldo,1108.24444,1973
