song_id,title,artist_id,year,duration
SOAAAQN12AB01856D3,Campeones De La Vida,ARAMIDF1187FB3D8D4,,153.36444
SOAACFC12A8C140567,Supernatural Pt. II,ARNHTE41187B99289A,,343.09179
SOAACTC12AB0186A20,Christmas Is Coming Soon,ARXWFZ21187FB43A0B,2008,180.76689
SOAADAD12A8C13D5B0,One Shot (Album Version),ARQTC851187B9B03AF,2005,263.99302
SOAADJH12AB018BD30,Black Light (Album Version),AR3FKJ61187B990357,1975,385.90649
SOAADUU12AB0183B6F,Intro / Locataire (Instrumental),AR70XXH1187FB44B55,,101.92934
SOAAEHR12A6D4FB060,Slaves & Bulldozers,AR5N8VN1187FB37A4E,1991,415.81669
SOAAETA12A6D4FC626,Shine,ARQXK0B1187B9ACC97,2007,448.23465
SOAAFHQ12A6D4F836E,Ridin' Rims (Explicit Album Version),AR3CQ2D1187B9B1953,2006,322.84689
SOAAFUV12AB018831D,Where Do The Children Play? (LP Version),AR5ZGC11187FB417A3,,216.05832
SOAAGBO12AB017CEBB,Death Of Emmett Till,AR60ODO1187FB4D9AB,2002,233.35138
SOAAGXT12A8C13A94D,Beautiful Zelda (2007 Digital Remaster),ARTC1LV1187B9A4858,1968,145.03138
SOAAHZO12A67AE1265,Agni Sha Kshi,AR9DE5T1187FB48CA3,,229.69424
SOAAKBE12A8C139075,Emília,ART1OPW1187FB3C5EF,,159.7122
SOAAKLA12A58A7A3CC,Snow Day (LP Version),ARGWNT41187FB463F1,,211.90485
SOAAMWQ12A8C144DF1,Happy Nation,AR2IKF71187FB4D0C2,1992,255.08526
SOAANBW12A6D4F8DE9,A Change Is Gonna Come (2001 Digital Remaster),ARGF9VF1187FB37DAE,1973,259.3171
SOAAOLZ12A6D4FB403,Somebody Knew,ARRSUF71187FB52F33,1997,188.08118
SOAASHY12A58A7C439,Ricordo,AR0VQ8W1187FB4F4D9,2003,275.98322
SOAASSD12AB0181AA6,Song From Moulin Rouge,ARKXLIJ1187B9A4C54,,195.02975
SOAAUGN12AB01830B6,Don't Wanna Suffer (Carbon Copy),ARVC9W21187B99354B,2003,180.63628
SOAAUVF12A58A7D58C,Hickory Wind (Remastered LP Version),AR9VCSR1187B9B879E,1979,243.48689
SOAAVQK12A6D4F76E0,Ik Laat Je Vrij,ARCULXA1269FCD4F8D,1979,239.85587
SOAAVXG12A6D4F7777,Best Song In The World,ARO4ZPQ1187FB5083E,1996,164.88444
SOAAVYM12A8C13C43C,Barn's On Fire,ARGUSVR1187B9AD15E,2008,103.49669
SOAAXAZ12A6701CC77,Min Häst har Blivit Sjuk,AR45GZC1187FB48E44,1975,282.14812
SOAAXEV12A6D4FA21C,Micro Chip,ARTRZBZ1187FB5698A,2006,230.71302
SOAAXUI12A6D4F9936,towards Osiris,ARTHSAE12131B4B70A,,475.50649
SOAAXYX12A8C133B77,Can I Get With You,AR4OH581187B9B7157,2000,242.72934
SOAAYRB12AB0184B94,Should I Tell You,ARWEFTK1257509DE19,2009,164.46649
SOAAZWW12A8AE460E9,Dream,AR7OWGF1187FB44CB8,2006,268.64281
SOABBVH12AF72A5B57,My Love I Love,ARUIM291187FB3911A,2007,132.41424
SOABCEU12A8C132027,Cold Waste,ARL6NP61187B98C1FC,2007,385.43628
SOABFQI12A58A7D162,Another World (Album Version),AR9B5JX1187FB55D84,1977,494.10567
SOABHRQ12AB0181844,Russian Lullaby,ARXA17J1187FB3B507,2006,409.12934
SOABHSF12AB0182977,Perdicion,ARFD5AT1187FB40779,,281.28608
SOABHYQ12A8C13D8FF,Inner Frame,ARAYDD71187FB5B775,,247.43138
SOABIXP12A8C135F75,Witness,AR15DJQ1187FB5910C,,218.30485
SOABLAF12AB018E1D9,Lesson Learned,ARSW5F51187FB4CFC9,2009,256.522
SOABLNP12A8C135DC9,Life / Death,ARVTZN01187B9905B9,2008,276.4273
SOABLOU12AB0182F90,Make It This Time (feat. Biga),ARZRF6K1187B9A9AEA,2009,320.33914
SOABNBI12A8C13F890,Mon légionaire,AR5O86P1187FB3B8CD,,216.86812
SOABNPC12A8C13A9CC,Après Le Show,ARFM1EQ1187FB533ED,2005,223.4771
SOABNPW12A6D4FC9B5,The Canals Of Our City,ARQOBT71187FB4CCCA,2005,141.11302
SOABNVJ12A58A7E7FB,Play With Fire,ARVOEIW11F50C4ED16,,126.04036
SOABQFG12A58A7C6A7,Seven Samurai - ending theme,ARKZESI119B86682ED,,340.84526
SOABROK12A6D4F59E5,Two Drummers (LP Version),ARINUM91187B9A8CDE,2004,68.04853
SOABSTO12AB0180A29,Duke of Earl,ARL53RS1187B9B19AD,1994,224.88771
SOABTKM12A8AE4721E,Nothing's Clear (Album Version),ARQATWU1187B98EE26,,202.13506
SOABUAX12A8C141F08,Dyrt att vara fattiglapp,AR0FZPP1187FB3CAF9,2006,157.04771
SOABUER12A6D4F800A,All I Can Do (Remix),ARVB14J1187B992457,2002,226.82077
SOABVPU12AB018AA22,Conquer Me,ARZZRK91187B9A5CA5,2009,180.53179
SOABVWD12A58A7C3FF,Adios_ Mi Corazon,ARJUNZD1187B9A5DAE,1964,163.94404
SOABVWY12AB018274B,Honeysuckle Dog,ARAT5YT1187B9AE90B,1993,245.99465
SOABWAP12A8C13F82A,Take Time,AR5LMPY1187FB573FE,1978,258.89914
SOABWGO12AB0182725,I'm Just A Prisoner,ARCCX2V1187B99DEE6,1976,192.88771
SOABXON12AB0187956,De L'Art De La Fellation,ARYZC0O1187FB36917,2003,227.83955
SOABYIT12AB0183026,Vilda vindar,AR98ZSW1187B98E82C,1985,266.13506
SOABZNS12A6D4F9B39,Epoque Scolaire (Interlude),ARZO9UQ1187FB4D261,1999,89.18159
SOACAKP12AB018638D,Faut que tu fesses fort,ARZORKK11E2835CDA4,1999,137.92608
SOACBGF12AC9097E79,O'Malley & Delacey,ARQFV881187FB3C24C,,220.02893
SOACBQC12A81C2293C,Love Is The Answer,ARQ6ZV31187B997422,1994,229.09342
SOACCRN12AB01855AD,Walking Disease,ARVCRPA1187FB520B7,2008,39.81016
SOACCVZ12A6D4F7426,Trench Town Rock (1990 Digital Remaster),ARCETNJ11F4C83C829,,167.23546
SOACEDS12A6701EAAA,Gone To The Movies,ARP96FM1187B9AEA77,1998,232.25424
SOACEFM12A8C137F81,Somos La Ciudad,ARXQBVT11F4C83B62C,,283.81995
SOACFBL12A8C134E80,"String Quartet No. 13 in A minor D.804 (""Rosamunde""): III.     Menuetto (Allegretto) & Trio",ARVLEZN11E2835D955,,460.82567
SOACGMN12A8C13AD65,Closer,AR7FMHB1187FB443E9,2007,153.52118
SOACHGQ12AB018590E,Ven Morena,ARRVUWA1187B9A0FE2,2003,173.68771
SOACJST12AB017DE22,Broken Heart,AREH2ET1187B9AEFDE,2008,217.05098
SOACMKO12A8C1448C1,Border Girl,ARCLPWN11F4C83DF42,,232.88118
SOACMYN12AB018321D,Why I Pack My Lunch,ARS371M1187B992F09,,180.94975
SOACNDS12A8AE45586,Orsus,ARGJLIC1187B9B6CDB,2007,25.62567
