artist_id,name,location,latitude,longitude
AR00B1I1187FB433EB,Eagle-Eye Cherry,"Stockholm, Sweden",,
AR00DG71187B9B7FCB,Basslovers United,,,
AR00FVC1187FB5BE3E,Panda,"Monterrey, NL, México",25.670839999999998,-100.30953
AR00JIO1187B9A5A15,Saigon,Brooklyn,40.655070000000002,-73.948880000000003
AR00LNI1187FB444A5,Bruce BecVar,,,
AR00MQ31187B9ACD8F,Chris Carrier,,,
AR00TGQ1187B994F29,Paula Toller,,,
AR00Y9I1187B999412,Akercocke,,,
AR00YYQ1187FB504DC,God Is My Co-Pilot,"New York, NY",40.714550000000003,-74.00712
AR016P51187B98E398,Indian Ropeman,,,
AR01G6G1187B9892EF,Tonino Carotone,,,
AR01IP11187B9AF5D2,Call To Preserve,"Rockledge, Florida",28.33268,-80.734859999999998
AR01S3D1187FB50A53,Charlie Parr,Minnesota,,
AR01SCU1187B9A693C,Street Dogs,"Boston, MA",,
AR01WHF1187B9B53B8,Lullatone,"Nagoya, Japan",,
AR026BB1187B994DC3,Ijahman Levi,,,
AR026PU1187FB43FD9,The Vapors,,,
AR02IU11187FB513F2,Tito Puente,"New York, NY",,
AR02LMQ1187B992AC9,The Classic Crime,"Seattle, WA",47.603560000000002,-122.32944000000001
AR02T3I1187FB4D0E5,Aberfeldy,"Edinburgh, Scotland",,
AR02YGA1187B9B8AC4,Bersuit Vergarabat,Buenos Aires,-34.608519999999999,-58.373539999999998
AR035N21187FB3938E,BT,Earth,34.232939999999999,-102.4102
AR039B11187B9B30D0,John Williams,"NEW YORK, New York",,
AR03BDP1187FB5B324,Britney Spears,"Kentwood, LA; Los Angeles, CA",34.053489999999996,-118.24532000000001
AR03BDP1187FB5B324,Britney Spears feat. Pharrell Williams,"Kentwood, LA; Los Angeles, CA",34.053489999999996,-118.24532000000001
AR03ESE1187B992BC5,Bon Voyage,,,
AR03IZC1187FB3E058,Aidonia,,,
AR03P141187B9B8CE6,Teo Mammucari,,,
AR03Z7E1187FB44816,The Colourfield Featuring Sinead O'Connor,"Manchester, England",53.479599999999998,-2.2488100000000002
AR040JZ1187FB399A9,Sparks,"Los Angeles, CA",34.053489999999996,-118.24532000000001
AR040M31187B98CA41,The Bug Featuring Spaceape,,,
AR040M31187B98CA41,The Bug Featuring Ricky Ranking,,,
AR040QX1187FB4CFE1,Alexisonfire,"St. Catharines, ON, Canada",,
AR040RJ1187FB4D2AB,Azure Ray,,,
AR048JZ1187B9AEB85,Yellowcard,"Jacksonville, FL",30.331379999999999,-81.655799999999999
AR049S81187B9AE8A5,The Human League,"Sheffield, Yorkshire, England",53.383110000000002,-1.46454
AR04BF811A348F050D,Teenagers In Tokyo,,,
AR04KY61187FB44E3A,Fidel Nadal,,,
AR04NH21187FB4485B,Demise Of Eros,,,
AR04PRW1187FB4D60D,The Bens,,,
AR04S8J1187FB48358,Clifford Brown / Max Roach Quintet,"Wilmington, DE",39.740229999999997,-75.550839999999994
AR04S8J1187FB48358,Clifford Brown,"Wilmington, DE",39.740229999999997,-75.550839999999994
AR04ZDS1187B98C504,Stuck In The Sound,,,
AR050VJ1187B9B13A7,Dead Kennedys,,,
AR051VM1187B9B7F27,Chicken Shack,"Birmingham, England",52.478589999999997,-1.9086000000000001
AR052WY1187FB55B1C,We The Kings,BRADENTON. FL,27.4955,-82.578069999999997
AR059HI1187B9A14D7,Roy Drusky,"Atlanta, GA",33.748309999999996,-84.391109999999998
AR05IU31187B9B9A1A,Alex Ubago,"Vitoria, Spain",42.84751,-2.6797300000000002
AR05KAM1187B9B6F55,Cal Smith,"Gans, OK",35.387160000000002,-94.69444
AR05OG01187B9B8A98,Todd Rundgren,"Upper Darby, PA",,
AR05OJD1187B9B99A6,Ol' Dirty Bastard,"Brooklyn, New York",,
AR05TTS11C8A422FEC,Westbam And The Love Committee,,,
AR05UYB1187B99B90F,General Electrics,"Paris, France",48.856920000000002,2.3412099999999998
AR05VW21187FB407B4,Fudge Tunnel,Nottingham,52.949219999999997,-1.14392
AR061BH1187B98DF74,Guttermouth,"Huntington Beach, CA",33.678890000000003,-118.00157
AR061J011A348F060F,Ximena Sarinana,MX,23.62574,-101.95625
AR065TW1187FB4C3A5,Tricky / The Mad Dog Reflex,"Knowle West, Bristol, Avon, Engla",51.435580000000002,-2.57518
AR065TW1187FB4C3A5,Tricky,"Knowle West, Bristol, Avon, Engla",,
AR065TW1187FB4C3A5,Tricky,"Knowle West, Bristol, Avon, Engla",51.435580000000002,-2.57518
AR065TW1187FB4C3A5,Nearly God,"Knowle West, Bristol, Avon, Engla",51.435580000000002,-2.57518
AR065WD1187B9B545B,KAUKO  RÖYHKÄ,,,
