artist_id,name,location,latitude,longitude
AR36F9J1187FB406F1,Bombay Rockers,Denmark,56.27609,9.51695
ARBEBBY1187B9B43DB,Tom Petty,"Gainesville, FL","",""
ARIK43K1187B9AE54C,Lionel Richie,"Beverly Hills, CA","",""
ARD842G1187B997376,Blue Rodeo,"Toronto, Ontario, Canada",43.64856,-79.38533
ARQ9BO41187FB5CF1F,John Davis,Pennsylvania,40.99471,-77.60454
AR3JMC51187B9AE49D,Backstreet Boys,"Orlando, FL",28.53823,-81.37739
ARGCY1Y1187B9A4FA5,Gloriana,"Nashville, TN.",36.16778,-86.77836
ARH4Z031187B9A71F2,Faye Adams,"Newark, NJ",40.73197,-74.17418
ARBGXIG122988F409D,Steel Rain,California - SF,37.77916,-122.42005
ARNNKDK1187B98BBD5,Jinx,Zagreb Croatia,45.80726,15.9676
ARAJPHH1187FB5566A,The Shangri-Las,"Queens, NY",40.7038,-73.83168
ARGSJW91187B9B1D6B,JennyAnyKind,North Carolina,35.21962,-80.01955
ARAGB2O1187FB3A161,Pucho & His Latin Soul Brothers,"","",""
ARC43071187B990240,Wayne Watson,"Wisner, LA","",""
ARIG6O41187B988BDD,Richard Souther,United States,37.16793,-95.84502
ARMJAGH1187FB546F3,The Box Tops,"Memphis, TN",35.14968,-90.04892
ARGUVEV1187B98BA17,Sierra Maestra,"","",""
AR1Y2PT1187FB5B9CE,John Wesley,Brandon,27.94017,-82.32547
