artist_id,name,location,latitude,longitude
ARP6N5A1187B99D1A3,Mitch Ryder,"Hamtramck, MI","",""
AREDL271187FB40F44,Soul Mekanik,"","",""
AREDBBQ1187B98AFF5,Eddie Calvert,"","",""
AR7G5I41187FB4CE6C,Adam Ant,"London, England","",""
ARGSAFR1269FB35070,Blingtones,"","",""
ARI3BMM1187FB4255E,Alice Stuart,Washington,38.8991,-77.029
AR0IAWL1187B9A96D0,Danilo Perez,Panama,8.4177,-80.11278
ARD7TVE1187B99BFB1,Casual,California - LA,"",""
ARWB3G61187FB49404,Steve Morse,"Hamilton, Ohio","",""
AREVWGE1187B9B890A,Bitter End,Noci (BA),-13.442,-41.9952
ARNTLGG11E2835DDB9,Clp,"","",""
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49.80388,15.47491
ARGIWFO1187B9B55B7,Five Bolt Main,"","",""
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,"","",""
ARD0S291187B9B7BF5,Rated R,Ohio,"",""
ARKRRTF1187B9984DA,Sonora Santanera,"","",""
ARKULSX1187FB45F84,Trafik,Utah,39.49974,-111.54732
ARULZCI1241B9C8611,Luna Orbit Project,"","",""
