song_id,title,artist_id,year,duration
SOXILUQ12A58A7C72A,Jenny Take a Ride,ARP6N5A1187B99D1A3,2004,207.43791
SOPEGZN12AB0181B3D,Get Your Head Stuck On Your Neck,AREDL271187FB40F44,0,45.66159
SOBBXLX12A58A79DDA,Erica (2005 Digital Remaster),AREDBBQ1187B98AFF5,0,138.63138
SONHOTT12A8C13493C,Something Girls,AR7G5I41187FB4CE6C,1982,233.40363
SOTCKKY12AB018A141,Sonnerie lalaleulé hi houuu,ARGSAFR1269FB35070,0,29.54404
SOBEBDG12A58A76D60,Kassie Jones,ARI3BMM1187FB4255E,0,220.78649
SONSKXP12A8C13A2C9,Native Soul,AR0IAWL1187B9A96D0,2003,197.19791
SOMZWCG12A8C13C480,I Didn't Mean To,ARD7TVE1187B99BFB1,0,218.93179
SODAUVL12A8C13D184,Prognosis,ARWB3G61187FB49404,2000,363.85914
SOFCHDR12AB01866EF,Living Hell,AREVWGE1187B9B890A,0,282.43546
SOUDSGM12AC9618304,Insatiable (Instrumental Version),ARNTLGG11E2835DDB9,0,266.39628
SOZCTXZ12AB0182364,Setanta matins,AR5KOSW1187FB35FF4,0,269.58322
SOPSWQW12A6D4F8781,Made Like This (Live),ARGIWFO1187B9B55B7,0,225.09669
SOILPQQ12AB017E82A,Sohna Nee Sohna Data,AR1ZHYZ1187FB3C717,0,599.24853
SOMJBYD12A6D4F8557,Keepin It Real (Skit),ARD0S291187B9B7BF5,0,114.78159
SOXVLOJ12AB0189215,Amor De Cabaret,ARKRRTF1187B9984DA,0,177.47546
SOQVMXR12A81C21483,Salt In NYC,ARKULSX1187FB45F84,0,424.12363
SOSWKAV12AB018FC91,Midnight Star,ARULZCI1241B9C8611,0,335.51628
