start_time,hour,day,week,month,year,weekday
2018-11-15T08:02:54.796-02:00,8,15,46,11,2018,5
2018-11-15T14:54:52.796-02:00,14,15,46,11,2018,5
2018-11-15T20:23:48.796-02:00,20,15,46,11,2018,5
2018-11-15T21:42:18.796-02:00,21,15,46,11,2018,5
2018-11-21T00:29:35.796-02:00,0,21,47,11,2018,4
2018-11-21T17:25:24.796-02:00,17,21,47,11,2018,4
2018-11-14T21:10:05.796-02:00,21,14,46,11,2018,4
2018-11-28T08:52:40.796-02:00,8,28,48,11,2018,4
2018-11-28T17:26:03.796-02:00,17,28,48,11,2018,4
2018-11-05T00:18:04.796-02:00,0,5,45,11,2018,2
2018-11-05T14:30:25.796-02:00,14,5,45,11,2018,2
2018-11-05T15:17:19.796-02:00,15,5,45,11,2018,2
2018-11-05T16:11:42.796-02:00,16,5,45,11,2018,2
2018-11-13T11:21:47.796-02:00,11,13,46,11,2018,3
2018-11-13T11:42:07.796-02:00,11,13,46,11,2018,3
2018-11-30T03:36:45.796-02:00,3,30,48,11,2018,6
2018-11-30T12:11:25.796-02:00,12,30,48,11,2018,6
2018-11-16T09:45:36.796-02:00,9,16,46,11,2018,6
2018-11-20T00:26:35.796-02:00,0,20,47,11,2018,3
2018-11-24T14:37:00.796-02:00,14,24,47,11,2018,7
2018-11-24T15:18:07.796-02:00,15,24,47,11,2018,7
2018-11-29T16:24:29.796-02:00,16,29,48,11,2018,5
2018-11-27T17:42:47.796-02:00,17,27,48,11,2018,3
2018-11-27T20:07:48.796-02:00,20,27,48,11,2018,3
2018-11-22T22:49:02.796-02:00,22,22,47,11,2018,5
2018-11-23T13:37:12.796-02:00,13,23,47,11,2018,6
2018-11-26T13:50:44.796-02:00,13,26,48,11,2018,2
2018-11-12T00:50:21.796-02:00,0,12,46,11,2018,2
2018-11-12T16:51:23.796-02:00,16,12,46,11,2018,2
2018-11-18T17:14:14.796-02:00,17,18,46,11,2018,1
2018-11-03T13:34:03.796-03:00,13,3,44,11,2018,7
2018-11-10T15:47:53.796-02:00,15,10,45,11,2018,7
2018-11-11T17:45:25.796-02:00,17,11,45,11,2018,1
