artist_id,name,location,latitude,longitude
ARSLAVY1187B9BA622,Stacie Orrico,"Seattle, WA",47.60356,-122.32944
AR23EC41187FB4805D,Catherine King/Matthew Schwinghammer/The American Boychoir,New Jersey,40.14323,-74.72671
AR7OA5G1187B98D3A0,Sufjan Stevens,"Detroit, MI","",""
ARWHYTK1187FB482B3,Karen Dalton,Pennsylvania,"",""
ARLMSOV1187B9AE5D4,The Corrs,"Dundalk, County Louth, Ireland",54.00187,-6.40431
ARF1AUC1187B98D9A7,Fighting Jacks,"San Jose, California",37.33847,-121.88579
ARM0P6Z1187FB4D466,Richard Hawley And Death Ramps_ Arctic Monkeys,"Sheffield, South Yorkshire, Engla","",""
ART39ZB1187B9B1E3A,E-40_ Goldie Gold,"Hillside of Vallejo, CA","",""
AR1S9ZF1187FB3CBB0,Shuggie Otis,"Los Angeles, CA",34.05349,-118.24532
ARQR4MX1187B99614B,Mystery Jets,"Eel Pie Island, Twickenham, Engla",51.44663,-0.32823
ARQ3HVD1187FB49C32,Tim Burgess,"Salford, Greater Manchester, Engl",53.48973,-2.2843
AROPXGU1187B98987F,Sanctus Real,"Toledo, OH",40.19033,-82.66947
ARUS5MJ1187B9B0A5D,Martina Topley Bird / Tricky,"Knowle West, Bristol, Avon, Engla",51.43558,-2.57518
AR6BZPG1187FB59B8D,"Big Youth / Vivian \"Yabby U\" Jackson","Kingston, Jamaica",18.01571,-76.79731
ARNR4WR1187B990E85,The Mother Hips,"San Francisco, CA",37.77916,-122.42005
AR60END1187FB3BD8B,Big Head Todd and The Monsters,"Boulder, CO",40.01574,-105.27924
ARBW7IC1187B9908CE,Spirit of the West,Foxboro Massachusetts USA,42.06546,-71.24891
ARYJ6RP1187B9B3827,Cindy Morgan,"Nashville, TN",36.16778,-86.77836
AR3PF2S1187FB389E3,Carlene Carter,"Nashville, TN",36.16778,-86.77836
AR6F1M81187B99FAE4,Guilty connector,"","",""
ART0ATJ1187FB531D2,Dar Williams,"Mount Kisco, NY",41.20633,-73.72684
ARI9DQS1187B995625,Judy Henske,"Chippewa Falls, WI",44.93746,-91.39251
ARHJIKW1187B9ACE16,Pop Will Eat Itself,"Stourbridge, England","",""
AR4AX3L1187FB52FB1,The Sainte Catherines,"Montreal, Quebec, Canada","",""
ARRYBYF1187FB3929E,Laurent Garnier,"Boulogne Sur Seine, France",50.72744,1.61551
AR8DTVF1187B9AA292,Ozzy Osbourne,"Birmingham, England","",""
ARSPBQG1187B9A60B5,Steve Cropper & Felix Cavaliere,"Willow Spring, MO",35.59051,-78.73713
ARAWQ751187FB36C18,Bloodhound Gang,"King of Prussia, PA","",""
ARWMFZH11C8A4219E0,For Today,"Sioux City, IA",42.49981,-96.42094
AR7V1WB1187FB3AF33,BENEDICTION,JoCo,48.14432,17.5141
ARHMCAQ1187FB3D99E,Binomio de Oro,"SAN ANTONIO, Texas",29.42449,-98.49462
ARUDU1L1187FB5073F,The Cooper Temple Clause,"Reading, England",51.45238,-0.99603
AR35E9F1187B9B4877,John Prine,"Maywood, IL",41.88711,-87.83917
ARZJRXR1187FB3CF96,Allan Sherman,"Chicago, IL","",""
ARRR9QU1187B9AE226,Poison,"Harrisburg, PA","",""
ARTM3461187B98F90D,Blindside,"Stockholm, Sweden","",""
ARN7POH1187B9B301E,Jessica Simpson featuring Lil Bow Wow,"Dallas, TX","",""
AR1PCLK1187FB5BBFF,Angelo Badalamenti,New Jersey,40.14323,-74.72671
ARYJSY01187B9B7C65,Dolly Parton,"Locust Ridge, TN","",""
AR7FN7T1187FB3DF8A,Dog Eat Dog,"Bergen County, New Jersey, USA",40.94757,-74.08317
ARXRPXX1187B9B7251,Los Lobos,"East Los Angeles, CA",34.03339,-118.1596
ARKFIIN1187FB59E5F,Mercy Mercedes,"OKLAHOMA CITY, Oklahoma",35.472,-97.52033
AR8L6W21187B9AD317,Diana Ross,"Detroit, MI","",""
ARWYPNT1187B98E873,Kaskade,Los Angeles CA,"",""
AR4AN7M1187FB41EF0,Mechanical Poet,Russia  (Moscow),55.75687,37.6151
ARYH89E1187FB53AEA,Sharon Jones & The Dap-Kings,Brooklyn NY,40.71455,-74.00712
ARC7C241187B990F7F,Becoming The Archetype,"Atlanta, GA",33.74831,-84.39111
AR2JLLE1187FB3D8EA,One Man Army,"San Francisco, CA",37.77916,-122.42005
AR86IIE1187FB40BE5,The Rubettes,England,52.88356,-1.97406
AR79GT01187FB5CC51,Hurts,"","",""
ARPAK761187FB4096B,The Rifles,"London, England",51.50632,-0.12714
AR2DP8Z1187FB3C4D7,Horse The Band,"Los Angeles, CA",34.05349,-118.24532
ARZ78VU1187FB4C54E,Zazie,"Boulogne-Billancourt, France",48.83515,2.24102
ARK83FG1187B9AC45D,Pauline en la playa,"","",""
ARJZPXF1187FB371A5,Paddy Kelly,CANADA - Ontario,49.38426,-84.75627
ARGLI7X1187B9930BB,Jesper Kyd,NY - New York City,40.71455,-74.00712
ARWDPT81187B99C656,The Kooks,"Brighton, United Kingdom",50.82821,-0.13449
ARPAU421187B9AEC6E,Haggard,Munich / Germany,48.13641,11.57752
AR3Z3U71187FB36BD1,Christine Fellows,"Winnipeg, CA",49.89942,-97.14074
ARXZXNC122BCFCB7B5,Christmas Island,"San Diego, CA",32.71568,-117.16172
ARCCX2V1187B99DEE6,Candi Staton,"Hanceville, AL",34.06171,-86.76951
ARX2R5A1187FB5B85B,Ann Nesby,"Joliet, IL &amp; Atlanta, GA",33.74831,-84.39111
ARG5ULP1187B9ABFBC,Informatik,"","",""
ARTM6SK1187B9B804D,Ismaël Lo,"Dongo Buti, Niger",17.61099,8.08094
AR7OCK81187B98D1F1,Debbie Davies,"Los Angeles, CA",34.05349,-118.24532
ARBTX261187B99255D,Bill Bruford,"Sevenoaks, Kent, England",51.27562,0.17898
ARJTF4Y1187B999F2F,Walls Of Jericho,"Detroit, MI","",""
AR20UM21187B9B4067,Tomas Andersson Wij,"","",""
AR4XX0N1187FB45C21,Iron And Wine,"Columbia, SC","",""
AR354L71187B9B9FBD,Martin O'Donnell / Michael Salvatori,"","",""
ARBM5JV1187B9ACD9B,Suzanne Vega,New York NY,34.01156,-118.49229
AROLE161187B98F7E4,Olle Adolphson,"","",""
ARS1VBP1187B98DAA4,Four Bitchin' Babes,United States,"",""
AR6ABC01187FB4035B,Billy Talent,"Toronto, ON",43.64856,-79.38533
ARQL56C1187FB41279,Melissa Etheridge,"Leavenworth, KS","",""
ARXGOFQ1187FB4E311,Eddy Grant,"Plaisance, Guyana",4.86632,-58.93826
ARZP4981187B998902,International Observer,United Kingdom,"",""
