artist_id,name,location,latitude,longitude
ARGMXQW1187FB54C34,Eliane Elias,"Sao Paulo, Brazil",-23.56287,-46.65466
AR4JL9A1187B98C936,Dan Sartain,"Birmingham, Alabama",33.52029,-86.8115
ARLUQYP1187B9B6BA0,Steven Wright,"New York, NY",40.71455,-74.00712
ARJ97ZM1187B9AD147,Within Temptation,The Netherlands,"",""
ARYLM651187B996F67,Fefe Dobson,"Scarborough, Ontario, Canada","",""
AR43IDV1187FB4691A,Born Ruffians,"Toronto, Ontario - Canada",43.64856,-79.38533
AR6W3ET1187B997DE7,Kari Bremnes,Svolv� Lofoten Norway,64.55653,12.66538
AR138US119B340375E,Pete Molinari,Chatham UK-England,"",""
ARG53231187FB3982D,The Starting Line,"Philadelphia, PA",39.95227,-75.16237
AR4VSGJ1187FB41F88,The Creepshow,"Burlington, Ontario, Canada",43.32618,-79.79854
ARG4YMA1187B9A15AC,West Philips,"","",""
ARENNIE1187FB3BF1F,Orange Juice,"Glasgow, Scotland",55.8578,-4.24251
ARLXH0A1187FB3C5E7,Dead To Fall,"Chicago, IL",41.88415,-87.63241
ARXO8BW1187B9A3F83,Joe Strummer,"Ankara, Turkey",39.94293,32.86048
ARNNQBT1187FB437C1,Belphegor,"SANTA ANA, California",33.74907,-117.87394
AR05KAM1187B9B6F55,Cal Smith,"Gans, OK",35.38716,-94.69444
ARJKJX31187B9B9BAC,Berri Txarrak,"Lekunberri, Nafarroa, Euskal Herria","",""
ARTY1P21187FB53DA3,Electric Frankenstein,New Jersey,40.14323,-74.72671
ARHLT3W1187FB5711F,Sepultura,"Belo Horizonte, Brazil","",""
ARV7VUX1187B9B8D1C,Rodney Crowell;Rosanne Cash,"Houston, TX","",""
ARFBBL21187B99E5AF,Vicious Rumors,"Alameda, CA",37.76658,-122.24474
ARN2C4X1187B9B363C,Jack Off Jill,"Ft. Lauderdale, FLORIDA",26.12367,-80.14356
ARZO9UQ1187FB4D261,Alliance Ethnik,"Creil, France",49.25953,2.47547
ARUDU1L1187FB5073F,The Cooper Temple Clause,"Reading, England",51.45238,-0.99603
ARMZVDI1187FB4C39C,Six Finger Satellite,Rhode Island,41.66122,-71.55587
ARYZV2X1187B997BE7,Chris Standring,California - LA,"",""
ART4MB31187FB4C838,Thomas Leer,UK - England - South West,52.88356,-1.97406
AR6MIU31187B994603,Stefon Harris,"","",""
ARBNL6D1187B9A147E,The Black Halos,"Vancouver, British Columbia, Cana",49.26044,-123.11403
ARQXM2T1187B98FF32,Sonny James,"Hackleburg, AL",34.27798,-87.82828
ARJ66JQ1187B99D2FF,Wordsworth feat. Adanita Ross,"","",""
ARGJ84O1187B98CD2C,China Crisis,"Kirkby, Merseyside, England",53.48025,-2.87899
