song_id,title,artist_id,year,duration
SOSHXLZ12AB0185894,Throw Them 3's (Bouston Ni****),ARAQMES1187FB4D46A,0,260.8322
SOYPXIL12A6D4FB97F,Freedomland (para Luis Güereña),ARHQS6Y1187FB468A3,2004,190.48444
SOBANXX12A8C1388F9,The Blackest Years (CD only hidden track),ARN2ZKL1187FB3972B,2000,448.54812
SOROQCO12A8C13D2FE,Take Me Home (featuring Pharaoh Monch) (Album Version),ARDL2Q51187B9AF8FF,1999,226.06322
SONNEHU12A8C132C0B,Medley La Puerta Negra/La Culebra (En Vivo Auditorio Nacional),ARBW1J61187B9B8B54,0,292.80608
SODQGKX12A6D4FB62C,Countin' Down The Days Goodbye_ I Love You) (Engage Album Version new Recall Mix),AREF5LQ1187B9B91F2,2002,328.35873
SOAFTOD12A6D4F9F89,Abbassa La Tua Radio (2005 Digital Remaster),AR7TZZJ1187FB36B90,0,138.86649
SOSLZJM12A58A7CF4E,The Mixed Tape (Album Version),ARQSM561187FB4A0CF,0,194.89914
SOHZDPE12A6D4F7CAC,Loneliness  (24-Bit Digitally Remastered 03),ARYYI011187FB3605B,0,193.48853
SOYPWPS12AC4688650,Inches And Falling (I Love_ Love) (Live),ARCPYBD1187B9A56CE,0,225.802
SONXFET12A8C139EAF,The Missouri Breaks (Crossing the Missouri),AR086UB1187B994281,0,129.88036
SOUHWRL12AB018ABD1,Heart Is Right (Album Version),AR3PF2S1187FB389E3,1993,199.96689
SOSXBBJ12A8C130EF9,Shimmy She Wobble,ARSV8XX1187B9A9029,2001,257.95873
SOOXVVD12A6D4FB3F9,You Have Stirred My Soul (Better Days Album Version),ARHG3RJ1187B995079,0,395.54567
SOZFGTK12AB0181579,There Is No Point In Trying,ARGERPR1187FB4F1BC,1992,34.35057
SOLBSMP12AB0189F49,Le bureau du médecin,ARE02J31187FB379E4,2009,214.83057
SOIBXGH12A8C143C8B,Declaration (This Is It!),AR0OQPL1187B9B549A,2007,264.85506
SOAKODQ12A58A7B461,Moss Garden (1999 Digital Remaster),ARJA1841187FB3A029,1977,305.05751
SOTSGLP12AB017F7D7,The Sexy Midnight Torture Show,ARNCVXP1187FB54C24,2009,268.9824
SOKDVHF12AB01839F6,Thousands are Sailing to Amerikay,AR927SO1187FB5A62B,0,264.59383
SOTMGYY12A8C140E5D,Death Frees Every Soul,ARGVYYD11C8A416342,2008,222.17098
SOWIIWZ12AB018947F,I Dream Of Crystal (Solo (UK) Dub),ARLQWNC1187FB47425,0,342.83057
SOBRDLW12AC468A908,She Don't Belong To You,ARDP3WW1187FB3D28C,1998,224.65261
SOOEDPH12A6310E02B,Space Oddity (1997 Digital Remaster),ARJA1841187FB3A029,0,313.70404
SOKOGIH12AB017F1F2,Era De Maggio,ARV481W1187FB38CD9,2008,297.09016
SOBVXQL12A6D4F7FC0,New Friend Request (Amended Version),ARGMGHN1187B9B4213,2006,254.51057
SOAHDGG12AB0186EE2,Tore The Line (Album Version),ARAZFF51187B9961FE,0,211.9571
SOZNESJ12A6D4FD187,Nevada's Grace (Album Version),ARMOHN71187FB3959F,2004,227.99628
SODYQME12A6D4F6FB4,I'm So Happy Now (Single Version),ARSYOWS1187FB41157,0,170.63138
SOXOCAR12A8C138378,Unlikely Emergency,ARR2OEQ1187B9A4835,0,242.36363
SOZTJKI12A58A7B992,It's Obvious What's Happening Here,AROUKFV1187FB3CF2B,2005,159.9473
SOXESGI12A8C13F85C,Somebody Loan Me A Dime,ARGHPIE1187FB3CCDF,1990,263.73179
SOGKSAD12AF72A35AA,Through the Looking Glass (jazz),ARYZV2X1187B997BE7,2006,261.0673
SOFPXKK12AB01807D3,Chorinho Pra Ele (Live),ARWI6LR1187FB46E9F,0,197.17179
SOEAFTR12A8C1441B4,Helix Shatterproof,AR7JGAQ1187B9AC3C3,1998,66.14159
SOHIHQF12AF729FC01,Everything's Gonna Be Cool This Christmas,ARZGTK71187B9AC7F5,1998,177.91955
SOCGBIR12A6D4F601E,Washed Away,ARY1VGA1187FB5A39E,1992,320.44363
SOTVCFM12A58A7DABB,Young Emotions (Digitally Remastered 05),ARG2BMK1187FB59783,0,153.86077
SOPYHZU12AF72AA557,The Truth Is_ You Should Lie With Me,ARRTIN91187FB4BC6F,0,152.60689
SOJCJMT12A8AE492E5,Musti Sotakoira (2007 Digital Remaster),ARI3ZJB1187B9B66E8,0,101.19791
SOQTLMB12A58A7DBFF,Sanctify Yourself (Extended Remix),ARML8X41187B990644,0,435.3824
SOBZGST12AB018349A,Party Mad,ARB60IV1187FB370FE,1990,160.67873
SOFXZAW12A67ADC90E,Groovin'  (LP Version),AR5GPWY1187FB52289,0,164.04853
SODPQMG12A58A80623,Gottrahmen,ARNCTJ91187B98D813,2002,187.0624
SOIXZYX12A8C132097,Babies Makin' Babies,ARDJZ181187B9B7FBF,1973,261.85098
SOTDNWF12AB0186452,Revolution Action,AR3TG3X1187FB4D577,1999,249.46893
SOPBDED12A6D4F93E6,Joy In The Journey (The Final Word Album Version),ARHO1WI1187B98CB84,0,181.91628
SOVEXCM12A8C13B9F6,Evan Likes Driving,ARLH82S1187FB4DF10,2006,607.63383
SOLOUGF12A8C13D953,Quand Meme,ARUCW501187FB5180B,2006,233.01179
SOVKMYG12A6701D1A4,Wouldn't Believe It,ARMHMXB1187FB55E33,2004,227.13424
SOGNMQB12A58A7B8BF,Goodnight Irene,ARBF9CG1187FB3D905,1971,199.94077
SOTUCDJ12A6D4FBD25,Lady Of The Dawn,ARGZG0Z1187FB4B280,1979,250.46159
SOGRKUJ12A6D4FB8EB,A Deep Sleep For Steven,ARP3RF91187FB38FCD,1990,223.97342
SOPEKZT12A8C135F7A,Dirty Laundry (Album Version),ARKSAAD11F919A786E,0,202.70975
SOQKSLT12A6D4F888C,Niño Bomba Tampico Mix,ARAK3X11187B98FCB1,0,188.00281
SOACMYN12AB018321D,Why I Pack My Lunch,ARS371M1187B992F09,0,180.94975
SORQNSH12AB018BD1B,How You're Bound,ARMHMXB1187FB55E33,2010,360.48934
SOKAQQI12AB0189752,Paper Anniversary,AR3Z3U71187FB36BD1,2005,74.29179
SOPBQVG12A8C146BCE,The Nothing Doctrine,ARQ880G1187FB3F80D,2009,278.41261
SORWUHT12AB018364A,Outro,AR1B8UT1187B9B85B6,2004,453.642
SOEJUVY12A8C135C4A,The Kingdom - Titles,AR2H1J41187FB5C640,2007,269.7922
SORXEQN12AB0184EEE,Generation Aliens,AR8FMEN1187FB4A657,1986,268.40771
SOYDYHL12AAF3B306E,Cape Thunder,AR7ATXA1187B994497,0,333.29587
SOLXQYJ12A6D4FBE88,Iron Fist In A Velvet Glove,AROLEZ71187B9AE552,2000,317.04771
SOZXAEZ12A8AE4815A,Goodbye To The Factory (LP Version),AR6N1S71187B9B4BF6,2004,347.32363
SONDZFZ12A8C1396A6,Junkman (Album Version),ARIMZTM1187FB40930,2008,200.88118
SOOZELG12A58290FF3,Could You Save Me,ARPNSNX11E2835F1BD,2008,142.88934
SOJLEOL12A81C21838,Tongue Twisted,ARN2K2J1187B9B1E05,1993,341.05424
SORABBL12A58A7C15E,A Crow Left Of The Murder,AR1RMYB1187FB5A59E,2004,227.73506
SOKUAEP12A8C13BE19,Estoy Enamorado De Ella (Salsa),ARLLWJQ1187B9B06A7,0,210.70322
SOULIII12AAF3B4A58,Da Rockwilder,ARVTAI41187B9B8B67,0,176.90077
SOTNTQH12A8C13CC9A,Emotions Ring (Album Version),AR0RWAM1187B997087,0,246.02077
SOEBPPP12A8C13AFFC,Ghost Vexations,AR64XW41187B9B4BF0,2008,195.23873
SOEDNBX12A6D4F5DF5,Schön Ist Die Jugend,ARNGLM31187FB5A765,0,231.26159
SOKGFSR12A8C1385EE,Amplified Messiah,AR8KJG41187B9AF8EC,0,349.90975
SOGRHKI12AB0188757,Rockin' The Beer Gut (HOLLA Day Version),ARQPNIM12298900819,0,190.71955
SONHWFV12A8C137169,Instrumental,ARUB0K61187B9B9AC3,2001,98.06322
SOVLTVI12AB0181DC0,Gabriella's Sky,AR7M4QL1187B9AE979,2008,568.76363
SOHVLRU12AAA15D5C0,Listen Up,AR62DYJ1187FB4F833,2008,200.82893
SOBCPSW12A8C13BCB7,Haunted Melody,ARG2QEC1187B9B7FDB,2003,134.76526
SOLIRBA12A58A7C668,Mountain Bird,ARIP0IK1187FB4EFA3,2007,237.5571
SOSMVHJ12A58A7B06A,Sui Giovani D'Oggi Ci Scatarro Su,AR60LUY1187B98C8CD,1997,177.50159
SOKAXGR12A6D4F9285,I Should've Known Better,ARIT6081187B98D950,1993,304.29995
SOVRIRM12A8C13B476,I'll Come Running,ARGUACZ1187FB3F35C,2001,125.67465
SOMWYRR12A8C143501,Paid Vacation,ARNFTGS1187B9A465F,1980,88.89424
SONTPFW12A8C13B8FB,Plenty,ARKGMWY1187FB48338,1993,204.19873
SOREUFI12A8C13BDD2,Century,ARNVG9C1187B9B771F,2008,339.27791
SOQNQQK12A58A7DC81,I Dug Up A Diamond,ARIYY9R1187FB570C0,2006,216.76363
SOZWCGE12A58A79A03,F.T.W.,ARK8T3F1187B99FB52,2001,134.13832
SOPQAYC12A8C139625,Building A Better Me,ARX7H851187B9ACA90,2000,189.83138
SOACCRN12AB01855AD,Walking Disease,ARVCRPA1187FB520B7,2008,39.81016
SOHEPAH12A58A7D0DD,Trail Blazer (Nashville Version),ARHYFEB1187FB3D629,2000,282.14812
SOHAVVY12A8C1422E6,De Onda,AR02YGA1187B9B8AC4,1998,181.18485
SOILOMB12A8C138467,Comin' On Strong,AR0W4YS1187FB3B528,2000,207.69914
SOCTXUF12A8C14290F,Poor Ol' Broken Hearted Me,ARPCWNK1187B997020,2005,258.5073
SOVAHNW12AB0189540,Midnight Run,AROGIYL11F4C843A4F,0,334.23628
SOPZKEV12AB0181C68,The Angst & The Angst Pt. 2,ARO4GAN1187FB3897E,0,810.00444
SOIFJQY12AB018970F,Deportation Spreads,ARCW2471187B99E469,0,247.58812
SOUHJKU12AB017DF67,Stop Whispering (US Version),ARH6W4X1187B99274F,1993,250.8273
SOIYEQD12AB018AD99,Signed_ Sealed_ Delivered I'm Yours,ARKUZYC1187FB5BF27,0,160.1824
SOOFBSB12AB01862CE,Shot In The Dark,ARRP7LB1187B99A343,1997,222.71955
SOHKPEC12A8AE4628B,Hay Tantos Muertos,ARNQFRF1187FB3AD23,2004,171.07546
SOYXPMR12A8151B9FE,Dance Me In (Album Version),ARXI9SO1187FB5C455,2005,172.69506
SOBIKLK12A8C131985,In A Perfect World,ARU5Y6P1187FB5B6A5,0,239.51628
SOKVTFY12AB018AC00,The Good Earth,AR8VWZB1187B98D944,1986,232.93342
SONUWVK12A58A754AC,Drive My Soul (Album Version),AR9VDIR1187B996AC8,2009,200.59383
SOQSIIB12A6D4FBEFA,Jump In My Bed,ARZYPLF1187FB45B9B,2007,199.28771
SONRRDM12A6701E6E7,Just For You,ARM3EW81187B9AD130,0,135.88853
SOMTEUV12A8C14088B,On The First Night,ARD2CRJ1187FB3FF1B,2008,199.67955
SOMVIRK12AB017DB7E,Goodbye,ARM1A7Z1187FB3783E,2008,327.57506
SOPSCKN12A6D4F6742,Channel Is A Joker,ARQQKSO1187B996F63,1996,213.91628
SOZSDWX12AB0181EF7,Amazing Grace,ARJOEGM1187B9B8F24,0,231.07873
SOGAALD12A6D4F58F2,Caviglia,ARHUC691187B9AD27F,2005,165.72036
SOLYRRS12A58A7BF91,J'Ai Deux Amours,ARVTBDO1187B98AA00,2004,178.28526
SOVBYLF12AB017EBAC,Sacrifice for the Slaughtergod,ARH8B5X1187FB3B6C0,2007,173.37424
SOBOAQC12A8C13E3E9,Murder One,ARUZRFN1187B98AC05,2000,255.73832
SOCRNKC12A6D4FAE9D,Dance_ Dance_ Dance  (Album Version),ARXLX5L1187FB47BED,0,133.3024
SOFXDFB12AB0188F32,Hard Hat And A Hammer,AROWH4C1187B9B11CB,2010,168.80281
