song_id,title,artist_id,year,duration
SOCCFGS12AAF3B2E63,Hola Mireia,ARBXDW41187B98B085,2009,48.43057
SOCFWEY12AB017E62D,Destination,ARBYIUC1187FB55F76,2007,476.1073
SOZUPRG12A8C143BC9,Knife Edge,ARUSYLL1187FB4B9F7,0,181.52444
SOMAHZI12A58A7F904,Scandalon,ARHO1WI1187B98CB84,1985,234.78812
SOPBKFW12A8C145018,Happiness Happening,ARJGAUD1187FB505DA,0,519.44444
SOAMFCB12A8C139489,IMN,ARBYA1N1187B98F5A1,2005,351.03302
SOIEEGB12A6D4F8C8E,La Caccia,ARDI1X71187B9AED85,0,191.65995
SOBHSCH12AB01838C1,Back Pack,AR6GN6Z11A348F000D,2009,218.25261
SOHJVZI12AB01843B8,I Was Wrong,ARMFUAY1187FB3C77D,2003,195.49995
SOQQQYO12AB0187453,Yks Ja Ainoo,ARE7G301187FB3F4C3,2007,271.96036
SOFMVXL12AB0189DDE,Glowing,ARIA3WW1187FB41184,0,228.30975
SOSEAKY12A8C142585,A Subtle Kiss,AR0ASRK1187B9A6827,2003,204.66893
SOMKQIG12A8C135DE3,Bye Bye,ARVI5SU1187B9ACD09,2008,194.82077
SOSNTPX12A8C137371,Disco Jonki,AR0693R1187FB59D32,1998,168.69832
SOWJBHV12AB0180D65,Slim Thing,ARDG1CH1187FB59AF2,0,319.73832
SOKCTTJ12A8C141703,Never Goes,ARNMCXQ12086C13256,2009,243.48689
SOGERLS12AB0188F5C,Un secret,ARIUIOG1187FB42677,2005,167.83628
SOQZZMI12AAF3B34B4,Empty Hands,ARQXV1A1187FB3D5CC,2001,384.15628
SOLNWXU12AB0185EA7,Meat Balls,AR4EHLL1187FB56C6D,1995,174.05342
SORVGNO12AB01842EB,Midnight,ARVAE6W1187FB3CAF3,0,239.41179
SODDUBO12A8C139EC3,We Love You,ARX36T61187B9B2362,2002,456.22812
SORDKWD12A81C2297B,Mad Dem,ARVDYLW11F4C83ED5D,0,225.56689
SOOPVXP12AB018097A,Raquel,ARKB5MD1187B98DBB2,1997,336.61342
SOXPTLT12AB017AD74,Dis Morning,AR0GSFY1187B9A5A2E,0,225.25342
SOETCUF12AB0182C10,Last Night,AR4K1XY1187B99479D,0,213.68118
SOBUSUG12A58A808FB,Good To Me,AR9KSWV1187FB56B58,1996,218.09587
SOOJZFE12A8C136655,Would You Like,ARWXIVG1187B9B17C5,2008,285.17832
SOFJKDZ12A58A7D2F2,Factory,ARHQ5R41187B98BE5E,1982,333.21751
SOVFFJL12AB017FAB6,Create a System,AR9WQ801187B9AAE2C,0,259.34322
SOZKZFV12A8C145E68,Both Worlds,ARKGQAE12086C14946,0,543.81669
SOGBDGE12A58A80389,Change,ARY7J7M1187B991157,0,370.9122
SOCHVFS12AB0181009,Whatever It Took,AR32JLC1187B9946AF,0,210.70322
